WT_0min_R1	WT_3min_R1	WT_6min_R1	WT_12min_R1	WT_24min_R1	dproQ_0min_R1	dproQ_3min_R1	dproQ_6min_R1	dproQ_12min_R1	dproQ_24min_R1	proQp_0min_R1	proQp_3min_R1	proQp_6min_R1	proQp_12min_R1	proQp_24min_R1	WT_0min_R2	WT_3min_R2	WT_6min_R2	WT_12min_R2	dproQ_0min_R2	dproQ_3min_R2	dproQ_6min_R2	dproQ_12min_R2	proQp_0min_R2	proQp_3min_R2	proQp_6min_R2	proQp_12min_R2	WT_0min_R3	WT_3min_R3	WT_6min_R3	WT_12min_R3	WT_24min_R3	dproQ_0min_R3	dproQ_3min_R3	dproQ_6min_R3	dproQ_12min_R3	dproQ_24min_R3	proQp_0min_R3	proQp_3min_R3	proQp_6min_R3	proQp_12min_R3	proQp_24min_R3
ERCC-00019	2	14	10	25	42	5	5	5	17	38	6	8	8	20	49	6	7	17	17	8	6	7	24	2	3	5	14	3	7	17	10	54	6	8	5	16	17	5	6	14	22	30
ERCC-00022	29	59	85	143	225	37	50	88	118	249	34	51	87	136	284	41	47	76	124	34	40	74	131	23	31	84	118	36	54	80	93	260	35	69	102	130	187	40	47	103	78	238
ERCC-00025	18	32	70	112	159	28	31	49	99	191	23	37	69	82	181	31	30	46	69	23	27	36	93	14	26	38	66	22	34	58	66	155	25	25	57	82	148	12	21	61	79	156
ERCC-00035	13	43	71	135	208	25	31	56	99	195	24	34	71	122	260	33	29	62	105	40	32	68	123	23	37	70	126	18	41	60	90	239	39	56	68	124	184	22	45	97	89	171
ERCC-00042	101	229	313	441	660	123	179	176	415	742	134	177	340	418	848	118	161	212	377	147	170	186	380	82	168	253	415	107	190	260	284	771	108	211	250	389	671	125	139	283	306	695
ERCC-00043	224	530	874	1274	1851	272	464	783	974	1986	311	433	810	1026	2207	254	347	595	782	343	342	572	933	183	367	513	1018	279	432	665	704	1944	256	480	699	1010	1589	278	339	848	729	1768
ERCC-00044	14	48	66	112	176	19	33	82	90	188	43	46	64	96	207	22	29	61	80	36	28	43	82	13	36	48	123	18	40	50	74	197	22	34	68	101	188	18	39	79	84	160
ERCC-00046	635	1735	2395	3614	4810	1046	1361	2868	2213	5560	1045	1662	2629	3156	6541	775	848	1509	2689	1159	1116	1928	2705	780	1591	2441	3696	1323	1976	2063	2716	7438	1201	2203	2879	3789	5140	1185	1266	3043	2671	6633
ERCC-00051	12	24	29	44	56	13	14	26	35	88	11	24	37	32	96	13	12	28	27	15	18	26	24	7	18	21	27	9	23	24	28	67	13	23	24	29	52	8	12	31	42	63
ERCC-00053	12	33	51	65	124	19	25	44	61	124	20	20	51	62	135	17	25	40	53	17	24	33	61	13	22	18	50	21	25	36	50	103	17	27	40	40	79	16	27	40	40	100
ERCC-00060	119	229	371	518	814	122	163	295	464	914	131	207	324	372	957	114	171	233	367	123	129	245	390	83	156	186	440	100	190	267	266	842	110	218	256	415	633	117	124	328	310	733
ERCC-00062	15	27	46	80	118	23	43	32	68	144	18	41	46	81	156	17	17	45	56	21	21	33	61	12	34	51	78	25	36	45	70	177	17	43	62	93	136	18	21	83	63	121
ERCC-00071	7	12	23	28	54	17	14	17	29	69	8	15	28	28	63	10	5	22	35	7	9	18	27	5	12	18	33	13	13	10	38	79	9	19	25	31	54	12	14	34	28	49
ERCC-00074	4896	9407	11850	16310	25699	4909	7059	10670	16066	32460	6053	7796	11368	14654	31623	4184	6357	8914	12265	5081	5384	7681	13302	2935	5382	6675	14334	4492	6424	8224	9172	26283	4278	7228	9856	12250	20257	4738	4262	10874	10511	22008
ERCC-00076	18	44	98	97	209	24	40	61	108	219	30	34	82	114	234	28	29	61	86	27	35	48	111	16	26	43	112	34	38	54	82	256	18	41	82	98	213	22	43	92	103	203
ERCC-00079	4	22	33	44	91	8	11	25	32	108	8	12	37	39	108	13	16	33	28	17	11	20	37	7	12	14	46	6	19	23	29	103	9	18	25	31	72	8	11	37	36	76
ERCC-00084	5	14	11	27	29	7	9	15	13	37	8	9	15	20	38	5	14	15	15	5	5	7	30	6	12	9	14	6	8	12	23	67	6	10	31	27	29	10	4	24	13	34
ERCC-00092	42	69	115	148	271	41	66	144	149	260	63	65	145	170	325	50	43	74	129	48	54	80	145	33	58	85	172	45	64	101	152	379	43	52	137	171	289	52	72	149	138	319
ERCC-00095	56	73	118	150	236	34	68	64	171	336	44	72	106	126	343	33	53	74	114	39	52	67	125	23	38	58	132	33	50	79	107	276	47	68	80	113	187	40	58	101	106	209
ERCC-00096	4013	8738	15258	22524	38321	4559	6887	13050	19855	43494	5370	8167	13851	21549	43963	4721	6364	11824	16822	5569	6406	9478	21543	2875	5441	8674	20038	4094	6964	11545	14543	40791	4100	7926	12258	19228	35822	4551	5794	16108	15942	33708
ERCC-00099	5	7	10	8	18	6	1	11	11	18	1	6	7	11	27	3	1	4	17	3	8	8	8	2	8	6	9	2	7	7	10	25	5	3	8	15	18	4	5	6	7	24
ERCC-00108	202	365	566	804	1297	205	311	581	913	1649	255	368	586	729	1526	195	347	527	690	235	302	392	721	128	228	385	772	160	287	450	468	1523	173	351	507	659	1233	189	239	578	595	1284
ERCC-00111	110	239	418	623	1051	122	179	237	500	1239	152	223	365	589	1212	124	197	322	457	152	148	279	620	78	140	241	554	103	188	292	384	1101	123	228	336	562	1035	119	160	415	470	980
ERCC-00112	35	68	94	137	218	35	47	81	120	267	44	48	81	121	274	36	31	74	87	41	52	66	105	12	33	61	109	28	38	87	84	264	34	61	83	114	205	32	42	100	90	190
ERCC-00113	863	1793	2710	3974	6613	870	1234	2076	3696	7617	1101	1508	2471	3529	7502	879	1262	1906	3047	1053	1171	1802	3720	597	1037	1624	3484	845	1339	2041	2631	6681	828	1429	2107	3341	5574	867	1026	2869	2880	5675
ERCC-00116	149	277	463	726	1119	141	208	395	646	1240	199	264	467	631	1332	167	221	366	497	181	208	294	666	115	206	311	696	148	218	427	510	1338	143	270	370	650	1117	198	209	499	539	1094
ERCC-00130	4690	12514	22188	34636	53752	7451	9875	18321	21944	54168	7959	12340	20647	30332	64812	7011	7708	14994	24382	8426	8930	14893	28220	4735	9414	16080	30991	7095	11629	17700	23441	60179	7412	13129	20297	31046	50316	7283	8921	25061	23296	53962
ERCC-00131	10	24	39	65	85	16	19	17	32	112	21	18	49	56	108	7	14	15	31	17	22	22	37	10	12	34	57	9	25	43	36	109	14	17	34	49	89	15	29	37	27	104
ERCC-00136	574	1218	1937	2963	4496	689	1044	1809	2420	4859	773	1099	1939	2548	5465	588	796	1452	2046	749	857	1324	2594	472	885	1272	2581	668	1094	1548	1869	4995	669	1171	1710	2597	3890	661	818	2221	2074	4373
ERCC-00144	6	18	15	31	32	7	7	11	29	62	7	17	13	26	51	6	13	9	17	5	8	15	22	2	8	14	30	8	6	15	16	43	3	11	21	32	30	9	7	18	15	37
ERCC-00145	123	278	418	675	927	160	222	240	505	1060	191	264	397	487	1234	138	166	326	466	173	167	267	473	113	193	309	566	176	231	351	430	1087	147	265	406	536	896	173	183	534	422	1080
ERCC-00162	19	26	38	54	79	13	20	27	59	114	21	27	36	51	75	15	21	23	48	15	25	23	45	10	23	25	49	11	22	34	39	99	12	17	41	46	52	13	25	29	31	67
ERCC-00165	11	20	29	35	71	12	15	35	38	92	13	14	35	45	69	9	17	22	30	14	16	19	44	5	10	25	45	13	19	24	34	81	13	12	26	31	71	8	14	38	26	60
ERCC-00171	346	829	1348	1846	3109	439	602	1458	1502	3692	530	699	1175	1674	3586	410	580	910	1415	457	534	800	1744	285	526	724	1685	412	682	869	1095	3775	404	718	1072	1608	2725	459	481	1388	1318	2862
